epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,767.836,0.61565,0.66861,1.17212,0.82647,0.73221,0.79426,0.53475,1.13861,1.06797,1.48504,0.000275084,0.000275084,0.000275084
78,777.68,0.63196,0.67401,1.1695,0.81266,0.74937,0.79525,0.53336,1.19097,1.0957,1.53631,0.000264085,0.000264085,0.000264085
79,787.447,0.61649,0.64403,1.17242,0.77896,0.77504,0.78223,0.51844,1.19987,1.10377,1.54859,0.000253086,0.000253086,0.000253086
80,797.153,0.61203,0.64667,1.1651,0.79939,0.77904,0.81032,0.5432,1.18222,1.05029,1.52566,0.000242087,0.000242087,0.000242087
81,807.809,0.61509,0.6463,1.16809,0.81065,0.78682,0.80645,0.54204,1.18099,1.04729,1.52078,0.000231088,0.000231088,0.000231088
82,819.894,0.61183,0.63979,1.161,0.79632,0.77989,0.79183,0.53647,1.18357,1.07771,1.53054,0.000220089,0.000220089,0.000220089
83,831.188,0.60593,0.63354,1.15614,0.77312,0.77489,0.77958,0.52545,1.19601,1.07003,1.56534,0.00020909,0.00020909,0.00020909
84,841.168,0.60853,0.62486,1.1574,0.77725,0.77666,0.79186,0.54247,1.15066,1.05684,1.50367,0.000198091,0.000198091,0.000198091
85,850.826,0.56362,0.59761,1.1331,0.79537,0.74723,0.78429,0.54119,1.14801,1.06818,1.50242,0.000187092,0.000187092,0.000187092
86,860.531,0.57515,0.62001,1.14829,0.78046,0.7827,0.78378,0.53466,1.16853,1.07429,1.5267,0.000176094,0.000176094,0.000176094
87,870.284,0.58964,0.63032,1.15444,0.77472,0.80829,0.79349,0.53602,1.17719,1.04364,1.54511,0.000165095,0.000165095,0.000165095
88,880.142,0.57655,0.61316,1.14808,0.74555,0.78131,0.78071,0.53559,1.14498,1.07519,1.49871,0.000154096,0.000154096,0.000154096
89,890.014,0.57859,0.59885,1.12999,0.76336,0.76,0.77793,0.5407,1.15409,1.06596,1.50334,0.000143097,0.000143097,0.000143097
90,899.701,0.56702,0.60065,1.13637,0.76104,0.79966,0.79648,0.55202,1.12964,1.03881,1.4883,0.000132098,0.000132098,0.000132098
91,940.114,0.66724,0.68505,1.21956,0.79779,0.7502,0.78844,0.54374,1.11126,1.04761,1.48905,0.000121099,0.000121099,0.000121099
92,949.867,0.62434,0.60165,1.21197,0.75004,0.77602,0.77804,0.54187,1.13028,1.0759,1.50643,0.0001101,0.0001101,0.0001101
93,959.55,0.62035,0.56666,1.20012,0.77865,0.79388,0.7988,0.5453,1.14603,1.03039,1.52523,9.91012e-05,9.91012e-05,9.91012e-05
94,969.639,0.61382,0.5381,1.1817,0.81438,0.77197,0.804,0.55307,1.11967,1.0152,1.5001,8.81023e-05,8.81023e-05,8.81023e-05
95,979.507,0.58893,0.52767,1.16648,0.7973,0.78463,0.7985,0.55767,1.10849,1.01024,1.49553,7.71034e-05,7.71034e-05,7.71034e-05
96,989.325,0.59351,0.52186,1.16217,0.83333,0.77093,0.8064,0.55562,1.11329,1.0117,1.50178,6.61045e-05,6.61045e-05,6.61045e-05
97,999.07,0.58158,0.5044,1.15536,0.80099,0.78356,0.8069,0.56006,1.11449,1.01278,1.50224,5.51056e-05,5.51056e-05,5.51056e-05
98,1008.69,0.57406,0.53201,1.15632,0.80847,0.77792,0.80817,0.55908,1.11469,1.01595,1.49995,4.41067e-05,4.41067e-05,4.41067e-05
99,1018.52,0.58268,0.51704,1.16577,0.81296,0.77709,0.80964,0.55776,1.10491,1.00788,1.4968,3.31078e-05,3.31078e-05,3.31078e-05
100,1028.3,0.58357,0.51657,1.16738,0.80761,0.77609,0.80817,0.55844,1.10657,1.01325,1.49823,2.21089e-05,2.21089e-05,2.21089e-05
