epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1485.12,0.86168,0.93911,1.40789,0.82412,0.75504,0.79088,0.50544,1.20934,1.05514,1.5495,0.000246363,0.000246363,0.000246363
137,1495.28,0.85512,0.92899,1.41129,0.77992,0.77009,0.78062,0.51159,1.21957,1.08713,1.56429,0.000239766,0.000239766,0.000239766
138,1505.42,0.85964,0.94487,1.42429,0.78387,0.77082,0.79288,0.5064,1.21865,1.09639,1.55337,0.000233234,0.000233234,0.000233234
139,1515.99,0.87251,0.94382,1.42127,0.81844,0.76769,0.8008,0.50613,1.22209,1.0603,1.56473,0.000226769,0.000226769,0.000226769
140,1526.91,0.86488,0.9459,1.41379,0.81388,0.77452,0.79809,0.5076,1.23201,1.06093,1.5774,0.000220372,0.000220372,0.000220372
141,1537.09,0.87679,0.94546,1.41762,0.76254,0.7975,0.79099,0.51708,1.19558,1.07047,1.534,0.000214046,0.000214046,0.000214046
142,1547.37,0.85726,0.91021,1.40177,0.81705,0.76837,0.79054,0.51986,1.18866,1.05376,1.53458,0.000207792,0.000207792,0.000207792
143,1560.15,0.88166,0.92916,1.42022,0.78396,0.76805,0.77924,0.50952,1.21345,1.08248,1.55976,0.000201611,0.000201611,0.000201611
144,1572.65,0.84929,0.91652,1.39767,0.82116,0.7528,0.77754,0.50982,1.19504,1.0779,1.5365,0.000195505,0.000195505,0.000195505
145,1584.48,0.85604,0.90728,1.39789,0.78409,0.77404,0.7752,0.51046,1.20103,1.06882,1.53819,0.000189475,0.000189475,0.000189475
146,1596.48,0.8284,0.90501,1.39275,0.80059,0.76588,0.77895,0.50611,1.20981,1.10137,1.53661,0.000183523,0.000183523,0.000183523
147,1608.55,0.84893,0.89912,1.40119,0.79502,0.77438,0.77291,0.5027,1.2095,1.09793,1.54174,0.000177651,0.000177651,0.000177651
148,1620.69,0.85244,0.90962,1.40772,0.79921,0.75903,0.77228,0.50383,1.21557,1.0761,1.5504,0.000171859,0.000171859,0.000171859
149,1636.71,0.86703,0.96607,1.4173,0.81329,0.74954,0.7832,0.5102,1.19558,1.05817,1.53792,0.000166149,0.000166149,0.000166149
150,1667.02,0.83833,0.89624,1.38736,0.77462,0.77663,0.77623,0.50859,1.19164,1.0706,1.53519,0.000160523,0.000160523,0.000160523
151,1699.61,0.84029,0.90227,1.40279,0.81107,0.7407,0.77479,0.49555,1.23078,1.11175,1.57334,0.000154982,0.000154982,0.000154982
152,1719.82,0.83444,0.89364,1.39416,0.77899,0.74579,0.77246,0.50454,1.20157,1.1096,1.54934,0.000149527,0.000149527,0.000149527
153,1740.21,0.82685,0.85956,1.38167,0.73859,0.78539,0.77397,0.50898,1.20438,1.08939,1.5461,0.000144161,0.000144161,0.000144161
154,1759.51,0.8122,0.86459,1.37419,0.79366,0.78143,0.78732,0.51365,1.20804,1.08864,1.55199,0.000138883,0.000138883,0.000138883
